City,Date,Value,Year,Month,Value_lag1,temperature_2m_mean (°C)_lag1,temperature_2m_max (°C)_lag1,temperature_2m_min (°C)_lag1,apparent_temperature_mean (°C)_lag1,apparent_temperature_max (°C)_lag1,apparent_temperature_min (°C)_lag1,precipitation_sum (mm)_lag1,rain_sum (mm)_lag1,precipitation_hours (h)_lag1,shortwave_radiation_sum (MJ/m²)_lag1,et0_fao_evapotranspiration (mm)_lag1,wind_speed_10m_max (km/h)_lag1,wind_gusts_10m_max (km/h)_lag1,wind_direction_10m_dominant (°)_lag1,weather_code (wmo code)_lag1,utc_offset_seconds_lag1
Ampara,2013-10-01,22,2013,10,29.0,28.413333333333334,32.70333333333333,25.290000000000003,32.71666666666667,37.873333333333335,29.336666666666666,49.2,49.2,72.0,617.4,143.54,21.4,48.2,207.46666666666667,51.0,19800.0
Ampara,2013-11-01,36,2013,11,22.0,27.851612903225806,31.95483870967742,24.94193548387097,32.48064516129032,37.83548387096774,29.18064516129032,170.5,170.5,148.0,634.3199999999999,141.59,17.4,43.9,193.25806451612902,63.0,19800.0
Ampara,2013-12-01,38,2013,12,36.0,25.83,28.743333333333332,23.696666666666665,30.053333333333335,33.58,27.763333333333332,87.1,87.1,235.0,531.75,108.7,22.6,45.0,163.46666666666667,51.0,19800.0
Ampara,2014-01-01,34,2014,1,38.0,24.76451612903226,26.81935483870968,23.274193548387096,27.812903225806455,29.86451612903226,26.216129032258067,412.9,412.9,336.0,399.42,85.73,25.5,52.6,159.25806451612902,51.0,19800.0
Ampara,2014-02-01,28,2014,2,34.0,24.58709677419355,26.73225806451613,22.990322580645163,27.712903225806453,29.983870967741936,26.08709677419355,152.9,152.9,318.0,461.91,93.91,22.4,46.4,87.70967741935483,51.0,19800.0
Ampara,2014-03-01,22,2014,3,28.0,25.285714285714285,28.135714285714283,22.646428571428572,28.489285714285717,31.99285714285714,26.075,28.0,28.0,126.0,555.84,114.22,20.3,41.0,36.42857142857143,51.0,19800.0
Ampara,2014-04-01,21,2014,4,22.0,26.529032258064515,29.606451612903225,23.9,30.40967741935484,33.932258064516134,28.080645161290324,35.300000000000004,35.300000000000004,118.0,659.62,140.44,20.7,46.8,54.74193548387097,51.0,19800.0
Ampara,2014-05-01,27,2014,5,21.0,27.936666666666667,31.83,24.756666666666668,33.11,38.05333333333333,29.933333333333334,49.3,49.3,96.0,675.65,145.8,14.5,33.8,133.3,51.0,19800.0
Ampara,2014-06-01,49,2014,6,27.0,28.22258064516129,31.91290322580645,25.758064516129032,33.851612903225806,39.016129032258064,30.82903225806452,113.2,113.2,121.0,649.26,139.13,20.3,45.4,185.41935483870967,61.0,19800.0
Ampara,2014-07-01,28,2014,7,49.0,29.92,34.3,26.216666666666665,34.343333333333334,39.64,30.716666666666665,28.8,28.8,31.0,662.71,160.89,20.3,54.4,242.73333333333332,1.0,19800.0
Ampara,2014-08-01,36,2014,8,28.0,30.261290322580646,35.07096774193548,26.27741935483871,33.906451612903226,39.32258064516129,30.283870967741933,10.700000000000001,10.700000000000001,20.0,671.52,170.54,23.0,56.9,236.1290322580645,2.0,19800.0
Ampara,2014-09-01,15,2014,9,36.0,28.629032258064516,33.07096774193548,25.6,33.067741935483866,38.68709677419355,29.80322580645161,99.10000000000001,99.10000000000001,86.0,650.51,149.18,17.9,51.5,208.19354838709677,63.0,19800.0
Ampara,2014-10-01,43,2014,10,15.0,28.066666666666666,32.27,25.18,32.86666666666667,38.65,29.466666666666665,110.7,110.7,104.0,665.94,147.3,17.7,46.1,193.2,61.0,19800.0
Ampara,2014-11-01,219,2014,11,43.0,26.47741935483871,29.951612903225808,24.387096774193548,31.883870967741935,36.7,29.274193548387096,238.3,238.3,299.0,574.36,117.43,14.7,32.0,210.5483870967742,63.0,19800.0
Ampara,2014-12-01,153,2014,12,219.0,25.60666666666667,28.33,23.763333333333332,30.17,33.36666666666667,27.94333333333333,332.2,332.2,342.0,440.12,89.75,15.8,42.8,183.86666666666667,63.0,19800.0
Ampara,2015-01-01,238,2015,1,153.0,24.82903225806452,26.97741935483871,23.548387096774192,28.916129032258063,31.374193548387098,27.406451612903226,716.9,716.9,489.0,350.44,71.35,24.7,50.0,151.7741935483871,63.0,19800.0
Ampara,2015-02-01,92,2015,2,238.0,25.125806451612902,27.864516129032257,22.996774193548386,28.29032258064516,31.31935483870968,26.261290322580646,38.6,38.6,144.0,559.07,116.09,21.5,44.6,78.58064516129032,51.0,19800.0
Ampara,2015-03-01,35,2015,3,92.0,24.87142857142857,27.575,22.710714285714285,28.535714285714285,31.86785714285714,26.310714285714287,125.8,125.8,297.0,499.35,98.52,20.1,42.5,48.035714285714285,51.0,19800.0
Ampara,2015-04-01,21,2015,4,35.0,26.067741935483873,29.20967741935484,23.096774193548388,30.37741935483871,34.45161290322581,27.274193548387096,73.3,73.3,179.0,669.66,136.17,17.9,39.2,64.09677419354838,2.0,19800.0
Ampara,2015-05-01,34,2015,5,21.0,27.196666666666665,30.613333333333333,24.666666666666668,32.46333333333333,37.06333333333334,29.55666666666667,105.0,105.0,176.0,636.44,131.87,14.8,33.1,159.03333333333333,53.0,19800.0
Ampara,2015-06-01,28,2015,6,34.0,28.116129032258065,31.80322580645161,25.57741935483871,33.46451612903226,38.512903225806454,30.44516129032258,119.4,119.4,117.0,644.51,140.04,19.7,48.6,198.93548387096774,51.0,19800.0
Ampara,2015-07-01,17,2015,7,28.0,28.803333333333335,32.8,25.83,33.96,39.016666666666666,30.566666666666666,88.9,88.9,79.0,647.09,145.74,18.2,48.2,208.1,1.0,19800.0
Ampara,2015-08-01,22,2015,8,17.0,29.38064516129032,33.770967741935486,25.874193548387098,33.92580645161291,39.45161290322581,30.016129032258064,27.5,27.5,40.0,677.75,159.55,17.8,46.1,218.3548387096774,1.0,19800.0
Ampara,2015-09-01,19,2015,9,22.0,28.887096774193548,33.39677419354839,25.641935483870967,33.329032258064515,39.145161290322584,29.809677419354838,60.4,60.4,66.0,697.36,161.79,19.9,42.8,193.0,51.0,19800.0
Ampara,2015-10-01,10,2015,10,19.0,28.063333333333333,32.12333333333333,25.53666666666667,32.61666666666667,38.28,29.6,119.39999999999999,119.39999999999999,101.0,629.9,143.69,23.3,48.2,201.8,63.0,19800.0
Ampara,2015-11-01,25,2015,11,10.0,26.538709677419355,29.55483870967742,24.700000000000003,31.65806451612903,35.725806451612904,29.36774193548387,399.1,399.1,323.0,520.91,107.81,23.1,47.9,208.2258064516129,63.0,19800.0
Ampara,2015-12-01,64,2015,12,25.0,25.766666666666666,28.52,24.086666666666666,30.673333333333336,34.14,28.53666666666667,298.3,298.3,348.0,440.36,88.57,16.4,35.6,221.7,63.0,19800.0
Ampara,2016-01-01,160,2016,1,64.0,25.570967741935487,27.951612903225808,24.051612903225806,30.183870967741935,32.91290322580645,28.532258064516128,292.0,292.0,440.0,439.23,87.76,18.4,40.7,68.16129032258064,63.0,19800.0
Ampara,2016-02-01,146,2016,2,160.0,25.629032258064516,28.200000000000003,23.64516129032258,29.019354838709678,31.80322580645161,27.238709677419354,55.0,55.0,176.0,536.76,112.83,21.9,45.7,63.225806451612904,51.0,19800.0
Ampara,2016-03-01,67,2016,3,146.0,26.275862068965516,28.96206896551724,23.910344827586208,30.03448275862069,33.00689655172414,27.903448275862072,51.199999999999996,51.199999999999996,173.0,554.03,117.25,21.6,46.1,38.10344827586207,51.0,19800.0
Ampara,2016-04-01,48,2016,4,67.0,27.33225806451613,30.864516129032257,24.29032258064516,31.89032258064516,36.403225806451616,28.938709677419357,51.4,51.4,135.0,706.13,150.35999999999999,19.9,42.5,80.3225806451613,51.0,19800.0
Ampara,2016-05-01,28,2016,5,48.0,28.88,32.53333333333333,26.116666666666667,34.2,38.87,31.53666666666667,36.5,36.5,95.0,685.12,152.75,20.0,44.3,148.8,51.0,19800.0
Ampara,2016-06-01,40,2016,6,28.0,28.26774193548387,31.751612903225805,25.893548387096775,33.851612903225806,38.354838709677416,30.92258064516129,186.79999999999998,186.79999999999998,193.0,575.33,126.35,21.7,53.6,194.19354838709677,51.0,19800.0
Ampara,2016-07-01,87,2016,7,40.0,29.273333333333333,33.416666666666664,26.116666666666667,33.68666666666667,38.63666666666666,30.266666666666666,16.0,16.0,35.0,617.63,147.07,20.3,58.7,230.76666666666668,2.0,19800.0
Ampara,2016-08-01,36,2016,8,87.0,29.345161290322583,33.935483870967744,26.009677419354837,33.68709677419355,38.983870967741936,30.338709677419356,61.1,61.1,72.0,645.35,152.02,20.1,47.5,206.96774193548387,2.0,19800.0
Ampara,2016-09-01,52,2016,9,36.0,29.393548387096775,34.067741935483866,25.73225806451613,33.96774193548387,39.777419354838706,30.177419354838708,51.8,51.8,41.0,691.02,160.38,18.2,43.2,195.41935483870967,1.0,19800.0
Ampara,2016-10-01,64,2016,10,52.0,29.403333333333332,34.233333333333334,25.52,33.88666666666667,40.156666666666666,29.626666666666665,39.1,39.1,29.0,666.02,153.11,15.2,39.6,198.86666666666667,1.0,19800.0
Ampara,2016-11-01,135,2016,11,64.0,28.796774193548387,33.20645161290323,25.53548387096774,33.480645161290326,38.76451612903226,30.29032258064516,86.0,86.0,123.0,656.85,149.48,18.2,44.3,151.1290322580645,1.0,19800.0
Ampara,2016-12-01,377,2016,12,135.0,25.8,28.616666666666667,23.966666666666665,30.33,33.696666666666665,28.19,227.6,227.6,318.0,460.53000000000003,96.17,26.0,49.0,151.46666666666667,51.0,19800.0
Ampara,2017-01-01,625,2017,1,377.0,25.516129032258064,28.43548387096774,23.200000000000003,29.164516129032258,32.4,26.61935483870968,73.5,73.5,186.0,544.43,111.92,21.9,43.6,203.80645161290323,51.0,19800.0
